name,recipe_link,ingredients,category,prep-time,budget,review count,rating,difficulty,steps_count
Charlotte aux fraises,https://www.marmiton.org/recettes/recette_the-charlotte-aux-fraises_31214.aspx,"['biscuits à la cuillère', 'fraises', 'gélatine', 'sucre en poudre', 'Alcool', 'citron', 'crème liquide', 'sucre vanillé', 'glaçons']",charlotte,0,bon marché,327,4.8,difficile,11
churros,https://www.marmiton.org/recettes/recette_churros_24177.aspx,"['farine', 'sucre en poudre', 'sel', 'beurre', 'eau', 'oeufs', 'huile de pépin de raisin']",beignet et friture,0,bon marché,211,4.3,très facile,5
Crumble simple,https://www.marmiton.org/recettes/recette_crumble-simple_12173.aspx,"['sucre', 'beurre', 'farine', 'pommes']",crumble,0,moyen,497,4.9,très facile,7
Macarons inratables,https://www.marmiton.org/recettes/recette_macarons-inratables_72497.aspx,"['colorant alimentaire', 'sucre en poudre', 'sucre glace', ""blanc d'oeuf"", 'amandes']",gâteau,0,moyen,140,3.5,moyenne,8
La pâte à choux,https://www.marmiton.org/recettes/recette_la-pate-a-choux_17406.aspx,"['sel', 'farine', 'beurre', 'eau', 'oeufs']",choux,0,bon marché,169,4.7,très facile,4
Gâteau Banane de Stéph,https://www.marmiton.org/recettes/recette_gateau-banane-de-steph_31190.aspx,"['vanille', 'rhum', 'bananes', 'beurre', 'levure', 'sucre', 'farine', 'oeufs']",gâteau,0,bon marché,460,4.8,très facile,6
Forêt Noire,https://www.marmiton.org/recettes/recette_foret-noire_11529.aspx,"['crème fraîche', 'chocolat', 'beurre', 'levure', 'farine', 'sucre', 'oeufs', 'copeaux de chocolat', 'cerises']",gâteau,0,moyen,11,4.0,moyenne,10
Brioche maison facile,https://www.marmiton.org/recettes/recette_brioche_16881.aspx,"['sucre en poudre', 'levure de boulanger fraîche', 'sel', 'beurre', 'farine', 'eau', 'oeufs']",brioche,0,bon marché,605,4.4,facile,4
Le trianon ou royal de Nadine,https://www.marmiton.org/recettes/recette_le-trianon-ou-royal-de-nadine_63868.aspx,"['levure chimique', 'beurre', 'farine', 'sucre en poudre', 'oeufs', 'poudre de noisette', 'pralin', 'pralinoise', 'crêpe dentelle', 'chocolat noir', 'crème', 'Alcool']",gâteau,0,bon marché,348,4.9,moyenne,22
Gâteau aux abricots de Véro,https://www.marmiton.org/recettes/recette_gateau-aux-abricots-de-vero_49500.aspx,"['levure chimique', 'beurre', 'sucre', 'farine', 'abricot', 'oeufs']",gâteau,0,bon marché,24,4.0,très facile,8
Gâteau fondant banane chocolat,https://www.marmiton.org/recettes/recette_gateau-fondant-banane-chocolat_32066.aspx,"['chocolat', 'beurre', 'sucre', 'farine', 'bananes', 'oeufs']",gâteau,0,bon marché,161,4.6,très facile,7
Gaufres de Liège,https://www.marmiton.org/recettes/recette_gaufres-de-liege_21154.aspx,"['beurre', 'sel', 'levure', 'farine', 'lait', 'oeufs', 'sucre vanillé', 'sucre en grain']",gaufre,0,bon marché,80,4.1,facile,7
Les meilleurs American Pancakes,https://www.marmiton.org/recettes/recette_les-meilleurs-american-pancakes_333230.aspx,"['beurre', 'levure chimique', 'sucre en poudre', 'farine', 'oeufs', 'sucre vanillé', 'lait']",crêpe,0,bon marché,158,4.7,facile,8
Salade de fruits frais extra et rafraîchissante,https://www.marmiton.org/recettes/recette_salade-de-fruits-frais-extra-et-rafraichissante_72039.aspx,"['sucre en poudre', 'vanille', 'oranges', 'fraises', 'bananes', 'ananas', 'mangue', 'kiwis', 'pommes', 'cannelle', 'sirop', 'eau']",salade de fruits,0,bon marché,38,4.7,très facile,6
Tarte aux mirabelles,https://www.marmiton.org/recettes/recette_tarte-aux-mirabelles_11226.aspx,"['sucre en poudre', 'beurre', 'pâte brisée', 'mirabelle', 'oeuf']",tarte,0,moyen,196,4.5,moyenne,3
Tarte abricot amandine,https://www.marmiton.org/recettes/recette_tarte-abricot-amandine_39184.aspx,"['sucre en poudre', 'pâte brisée', 'abricot', 'oeufs', 'crème fraîche liquide', 'sucre vanillé', 'amandes en poudre']",tarte,0,bon marché,319,4.7,facile,6
Cupcakes maison inratables,https://www.marmiton.org/recettes/recette_cupcakes-natures_232278.aspx,"['sucre', 'beurre', 'farine', 'oeufs', 'sucre glace', 'beurre']",gâteau,0,bon marché,82,4.0,facile,8
Oeufs au lait,https://www.marmiton.org/recettes/recette_oeufs-au-lait_13286.aspx,"['sucre', 'lait entier', 'oeufs']",crème,0,bon marché,234,4.3,très facile,4
Porridge,https://www.marmiton.org/recettes/recette_porridge_35407.aspx,"['sucre roux', ""flocons d'avoine"", 'lait']",Petit déjeuner,0,bon marché,76,4.6,très facile,4
Clafoutis aux prunes reines-claude,https://www.marmiton.org/recettes/recette_clafoutis-aux-prunes-reines-claude_93510.aspx,"['beurre', 'farine', 'sucre en poudre', 'oeufs', 'lait', 'crème liquide', 'prune']",flan,0,bon marché,83,4.7,très facile,1
Paris-Brest généreux,https://www.marmiton.org/recettes/recette_paris-brest-genereux_19927.aspx,"['sucre glace', 'sel', 'maïzena', 'farine', 'sucre en poudre', 'beurre', 'lait', 'oeufs', 'amandes effilées', 'pralin', 'sucre', 'maïzena', 'beurre tendre', 'lait', ""jaunes d'oeuf""]",choux,0,moyen,76,3.8,difficile,6
Flan coco,https://www.marmiton.org/recettes/recette_flan-coco_16603.aspx,"['lait concentré sucré', 'oeufs', 'noix de coco', 'lait écrémé', 'caramel']",flan,0,bon marché,144,4.7,très facile,5
Quatre-quarts facile,https://www.marmiton.org/recettes/recette_quatre-quarts-facile_26543.aspx,"['extrait de vanille', 'sel', 'farine', 'sucre', 'beurre', 'oeufs', 'jus de citron']",gâteau,0,bon marché,277,4.5,très facile,5
Carrot Cake : la vraie recette,https://www.marmiton.org/recettes/recette_veritable-carrot-cake-recette-usa_83584.aspx,"['carotte', 'levure chimique', 'muscade', 'extrait de vanille liquide', 'farine', 'sucre', 'huile', 'oeufs', 'cannelle', 'Noix concassé']",gâteau,0,bon marché,211,4.8,très facile,6
Gâteau moelleux au mascarpone,https://www.marmiton.org/recettes/recette_gateau-moelleux-au-mascarpone_170961.aspx,"['huile', 'levure chimique', 'huile', 'farine', 'sucre en poudre', 'oeufs', 'mascarpone', 'sucre vanillé']",gâteau,0,bon marché,238,4.8,très facile,4
Pains au chocolat,https://www.marmiton.org/recettes/recette_pains-au-chocolat_29672.aspx,"['chocolat', 'levure', 'sel', 'sucre', 'beurre', 'farine', 'farine de blé', 'eau', 'oeuf']",viennoiseries,0,moyen,18,4.7,difficile,4
Coulis de fraise,https://www.marmiton.org/recettes/recette_coulis-de-fraise_55249.aspx,"['sucre en poudre', 'fraises', 'citron', 'eau']",sauce sucrée,0,bon marché,57,4.8,très facile,4
Cake Marbré au Chocolat très facile,https://www.marmiton.org/recettes/recette_cake-marbre-au-chocolat_340772.aspx,"['chocolat noir', 'lait demi-écrémé', 'levure chimique', 'farine', 'beurre', 'sucre', 'oeufs']",gâteau,0,bon marché,176,4.6,très facile,12
Pancakes à la banane,https://www.marmiton.org/recettes/recette_pancakes-a-la-banane_45575.aspx,"['beurre', 'sucre', 'levure', 'banane', 'farine', 'lait', 'oeufs']",crêpe,0,bon marché,98,4.2,très facile,4
Glaçage Blanc,https://www.marmiton.org/recettes/recette_glacage-blanc_31062.aspx,"['sucre glace', ""blanc d'oeuf"", 'citron']",gâteau glacé,0,bon marché,124,4.5,très facile,3
Cake au citron,https://www.marmiton.org/recettes/recette_cake-au-citron_11391.aspx,"['beurre', 'levure chimique', 'sucre', 'farine', 'oeufs', 'citron', 'sucre', 'citron']",gâteau,0,bon marché,484,4.7,facile,9
Clafoutis à la mirabelle,https://www.marmiton.org/recettes/recette_clafoutis-a-la-mirabelle_30982.aspx,"['beurre', 'sucre', 'farine', 'mirabelle', 'oeufs', 'lait']",flan,0,moyen,123,4.6,facile,5
Caramel beurre salé,https://www.marmiton.org/recettes/recette_caramel-beurre-sale_82652.aspx,"['crème fraîche', 'beurre', 'sucre', 'eau']",gâteau,0,bon marché,114,4.6,très facile,5
Pâte à crêpes au Thermomix,https://www.marmiton.org/recettes/recette_pate-a-crepes-au-thermomix_383065.aspx,"['sel', 'sucre', 'rhum', 'huile', 'beurre', 'farine', 'oeufs', 'lait']",crêpe,0,bon marché,5,5.0,facile,2
Le pudding de quand j'étais p'tite,https://www.marmiton.org/recettes/recette_le-pudding-de-quand-j-etais-p-tite_31801.aspx,"['pain', 'oeufs', 'lait', 'sucre vanillé', 'cannelle', 'cassonade', 'raisins secs', 'confiture']",pudding,0,bon marché,107,4.6,très facile,8
Tiramisu aux framboises : la recette inratable,https://www.marmiton.org/recettes/recette_tiramisu-aux-framboises_28919.aspx,"['biscuits à la cuillère', 'sucre roux', 'oeufs', 'sucre vanillé', 'mascarpone', 'lait', 'framboises']",tiramisu,0,moyen,395,4.8,très facile,7
Caramel facile,https://www.marmiton.org/recettes/recette_caramel-facile_55883.aspx,"['sucre', 'eau']",sauce sucrée,0,bon marché,45,3.2,très facile,3
Flan aux oeufs maison,https://www.marmiton.org/recettes/recette_flan-aux-oeufs-maison_86967.aspx,"['sucre', 'vanille', 'sucre', 'oeufs', 'lait']",flan,0,bon marché,88,4.6,facile,7
Crème aux oeufs de ma maman,https://www.marmiton.org/recettes/recette_creme-aux-oeufs-de-ma-maman_73607.aspx,"['sucre', 'oeufs', 'lait', 'sucre vanillé', 'caramel']",flan,0,bon marché,117,4.6,facile,7
Choux à la crème,https://www.marmiton.org/recettes/recette_choux-a-la-creme_15521.aspx,"['sel', 'sucre', 'farine', 'beurre', 'eau', 'oeufs', 'amaretto', 'sel', 'farine', 'sucre', 'lait', 'sucre vanillé', ""jaunes d'oeuf""]",choux,0,bon marché,407,4.4,moyenne,10
Kouign amann,https://www.marmiton.org/recettes/recette_kouign-amann_72749.aspx,"['sel', 'levure de boulanger', 'farine', 'eau', 'sucre', 'beurre', 'sel', 'farine', 'levure de boulanger', 'eau']",gâteau,0,bon marché,18,4.8,moyenne,16
Mille feuilles,https://www.marmiton.org/recettes/recette_mille-feuilles_33004.aspx,"['pâte feuilletée', 'farine', 'sucre', 'oeuf', 'lait', 'sucre vanillé', 'chocolat', 'sucre glace']",mille-feuille,0,bon marché,200,4.5,facile,8
Baba au rhum express,https://www.marmiton.org/recettes/recette_baba-au-rhum-express_13608.aspx,"['rhum', 'levure chimique', 'sucre en poudre', 'beurre', 'farine', 'lait', 'oeufs', 'eau', 'sirop de sucre de canne']",baba au rhum,0,bon marché,441,4.8,très facile,11
Crème au beurre : recette inratable,https://www.marmiton.org/recettes/recette_creme-au-beurre_26457.aspx,"['sucre en poudre', 'beurre tendre', 'oeuf']",entremets,0,bon marché,48,4.3,très facile,5
Pancake Moelleux : recette facile,https://www.marmiton.org/recettes/recette_pancakes_15299.aspx,"['sel', 'beurre doux', 'levure', 'sucre semoule', 'farine', 'oeufs', 'lait']",crêpe,0,bon marché,1735,4.8,très facile,6
Gâteau léger au fromage blanc,https://www.marmiton.org/recettes/recette_gateau-leger-au-fromage-blanc_13934.aspx,"['sel', 'levure chimique', 'extrait de vanille', 'sucre en poudre', 'farine', 'fromage blanc', 'oeufs', 'citron']",cheesecake,0,bon marché,178,3.5,facile,8
Tarte poire chocolat,https://www.marmiton.org/recettes/recette_tarte-poire-chocolat_70420.aspx,"['chocolat pâtissier', 'sucre', 'beurre', 'pâte feuilletée', 'poire', 'crème liquide', 'oeufs', 'cassonade']",tarte,0,bon marché,269,4.7,facile,6
Gâteau rapide au citron,https://www.marmiton.org/recettes/recette_gateau-rapide-au-citron_62862.aspx,"['huile', 'sel', 'levure chimique', 'sucre', 'farine', 'oeufs', 'citron']",gâteau,0,bon marché,417,4.5,très facile,6
Original American Cookies de Mike,https://www.marmiton.org/recettes/recette_original-american-cookies-de-mike_39907.aspx,"['chocolat', 'miel', 'beurre doux', 'levure', 'sel', 'sucre de canne', 'farine', 'sucre vanillé', 'oeuf']",gâteau,0,bon marché,2990,4.7,très facile,9
